,model,r2,explained_variance,neg_mean_squared_error,neg_mean_absolute_error
0,LinearRegression,0.8412522309387189,0.8406923027990096,-2122276594.3470757,-30769.03784945017
0,Ridge,0.8415574042352676,0.8399604857111033,-2126994303.5164464,-30751.69679242092
0,Lasso,0.8407926777837949,0.8407431031826299,-2128542825.1407247,-30777.692318891794
0,ElasticNet,0.7460491855033357,0.7460667147604214,-3395799872.154072,-41788.30252853265
0,SGDRegressor,0.8401200622096757,0.839954681005246,-2172477031.4161673,-31088.63045449395
0,RANSACRegressor,0.7916468568958857,0.7647486133985102,-2679735640.393476,-31848.942340493133
0,SVR,-0.04863282607022157,0.00725472887470704,-14015886151.215729,-88210.0949239541
0,LinearSVR,-2.6908276745132733,0.0010673810550004604,-49336285321.67662,-189686.15075899774
0,KNeighborsRegressor,0.8984486357998037,0.8971248276744455,-1369724850.2254117,-23134.62384781707
0,GaussianProcessRegressor,0.8780182034688784,0.8833970295735748,-1632196015.545278,-13133.94990820461
0,DecisionTreeRegressor,0.9940046375035501,0.9943963646226994,-96674625.19593248,-3997.1663080917015
0,AdaBoostRegressor,0.8227259090438537,0.8875354071545427,-2334248926.1247416,-41841.30931762909
0,BaggingRegressor,0.9974610256282693,0.996951418340179,-45665437.27696918,-2294.661491339206
0,RandomForestRegressor,0.9975927379350422,0.9971156043408392,-38713002.21175685,-1698.5980752752534
0,GradientBoostingRegressor,0.9945795657129676,0.9948954806654123,-72636920.46002209,-5649.970761508586
0,MLPRegressor,-1.3825091710170763,0.35661483773695807,-31909031917.329803,-153100.74787122285
